RecordingTimestamp	GazePointX (ADCSpx)	GazePointY (ADCSpx)	IRMarkerID	
11567	388	219	11, 14, 17, 18, 29	
11600	387	219	11, 14, 17, 18, 29	
11633	387	218	11, 14, 17, 18, 29	
11667	388	220	11, 14, 17, 18, 29	
11700	388	221	11, 14, 17, 18, 29	
11733	342	248	11, 14, 17, 18, 29	
11767	339	248	11, 14, 17, 18, 29	
11800	337	248	11, 14, 17, 18, 29	
11833	337	249	11, 14, 17, 18, 29	
11867	338	249	11, 14, 17, 18, 29	
11900	339	251	11, 14, 17, 18, 29	
11933	339	252	11, 14, 17, 18, 29	
11967	341	253	11, 14, 17, 18, 29	
12000	339	252	11, 14, 17, 18, 29	
12033	374	245	11, 14, 17, 18, 29	
12067	367	245	11, 14, 17, 18, 29	
12100	367	245	11, 14, 17, 18, 29	
12133	369	246	11, 13, 14, 17, 18, 29	
12167	370	246	11, 13, 14, 17, 18, 29	
12200	371	246	11, 13, 14, 17, 18, 29	
12233	372	247	11, 14, 17, 18, 29	
12267	375	253	11, 14, 17, 18, 29	
12300	376	254	11, 14, 17, 18, 29	
12333	376	254	11, 14, 17, 18, 29	
12367	378	248	11, 14, 17, 18, 29	
12400	378	247	11, 14, 17, 18, 29	
12433	379	247	11, 14, 17, 18, 29	
12467	379	247	11, 14, 17, 18, 29	
12500	380	247	11, 14, 17, 18, 29	
12533	381	248	11, 14, 17, 18, 29	
12567	382	247	11, 14, 17, 18, 29	
12600	381	248	11, 14, 17, 18, 29	
12633	382	249	11, 14, 17, 18, 29	
12667	382	250	11, 14, 17, 18, 29	
12700	381	249	11, 14, 17, 18, 29	
12733	380	248	11, 14, 17, 18, 29	
12767	380	248	11, 14, 17, 18, 29	
12800	377	248	11, 14, 17, 18, 29	
12833	376	247	11, 14, 17, 18, 29	
12867	376	248	11, 14, 17, 18, 29	
12900	375	248	11, 14, 17, 18, 29	
12933	360	245	11, 14, 17, 18, 29	
12967	342	245	11, 14, 17, 18, 29	
13000	342	245	11, 14, 17, 18, 29	
13033	341	244	11, 14, 17, 18, 29	
13067	340	244	11, 14, 17, 18, 29	
13100	343	246	11, 14, 17, 18, 29	
13133	341	252	11, 14, 17, 18, 29	
13167	283	262	11, 14, 17, 18, 29	
13200	280	262	11, 14, 17, 18, 29	
13233	280	265	11, 14, 17, 18, 29	
13267	277	263	11, 14, 17, 18, 29	
13300	275	263	11, 14, 17, 18, 29	
13333	273	264	11, 14, 17, 18, 29	
13367	271	265	11, 14, 17, 18, 29	
13400	270	264	11, 14, 17, 18, 29	
13433	268	263	11, 14, 17, 18, 29	
13467	267	264	11, 14, 17, 18, 29	
13500	267	264	11, 14, 17, 18, 29	
13533	265	263	11, 14, 17, 18, 29	
13567	267	265	11, 14, 17, 18, 29	
13600	266	263	11, 14, 17, 18, 29	
13633	266	264	11, 14, 17, 18, 29	
13667	268	263	11, 14, 17, 18, 29	
13700	269	264	11, 14, 17, 18, 29	
13733	272	265	11, 14, 17, 18, 29	
13767	271	265	11, 14, 17, 18, 29	
13800	273	266	11, 14, 17, 18, 29	
13833	221	256	11, 14, 17, 18, 29	
13867	227	258	11, 14, 17, 18, 29	
13900	226	258	11, 14, 17, 18, 29	
13933	229	258	11, 14, 18, 29	
13967	229	256	11, 14, 17, 18, 29	
14000	231	257	11, 14, 17, 18, 29	
14033	231	257	11, 14, 17, 18, 29	
14067	233	257	11, 14, 18, 29	
14100	233	256	11, 14, 17, 18, 29	
14133	230	256	11, 14, 18, 29	
14167	231	257	11, 14, 17, 18, 29	
14200	230	255	11, 14, 17, 18, 29	
14233	231	256	11, 14, 17, 18, 29	
14267	229	253	11, 14, 17, 18, 29	
14300	232	254	11, 14, 17, 18, 29	
14333	234	254	11, 14, 17, 18, 29	
14367	235	252	11, 14, 17, 18, 29	
14400	234	251	11, 14, 17, 18, 29	
14433	236	251	11, 14, 17, 18, 29	
14467	237	250	11, 14, 17, 18, 29	
14500	237	247	11, 14, 18, 29	
14533	239	246	11, 14, 17, 18, 29	
14567	240	245	11, 14, 17, 18, 29	
14600	241	244	11, 14, 17, 18, 29	
14633	243	246	11, 14, 17, 18, 29	
14667	244	246	11, 14, 17, 18, 29	
14700	243	245	11, 14, 17, 18, 29	
14733	242	243	11, 14, 17, 18, 29	
